"variable","method","suite","method_type","method_class","cache_type","display_name","verified","commercial_use","source_file","current"
"lightgbm_method_metadata","LightGBM","tabarena-2025-06-12","config","model","s3","LightGBM",NA,TRUE,"lightgbm__info.py",TRUE
"modernnca_gpu_method_metadata","ModernNCA_GPU","tabarena-2025-06-12","config","model","s3","ModernNCA",NA,TRUE,"modernnca__info.py",TRUE
"fastai_method_metadata","NeuralNetFastAI","tabarena-2025-06-12","config","model","s3","FastaiMLP",NA,TRUE,"fastai__info.py",TRUE
"nn_torch_method_metadata","NeuralNetTorch","tabarena-2025-06-12","config","model","s3","TorchMLP",NA,TRUE,"nn_torch__info.py",TRUE
"random_forest_method_metadata","RandomForest","tabarena-2025-06-12","config","model","s3","RandomForest",NA,TRUE,"random_forest__info.py",TRUE
"tabicl_method_metadata","TabICL_GPU","tabarena-2025-06-12","config","model","s3","TabICL",NA,TRUE,"tabicl__info.py",TRUE
"factory:TabPFNv2_GPU","TabPFNv2_GPU","tabarena-2025-06-12","config","model","s3",NA,NA,TRUE,"tabarena___tabarena_method_metadata_2025_06_12.py",TRUE
"xgboost_method_metadata","XGBoost","tabarena-2025-06-12","config","model","s3","XGBoost",NA,TRUE,"xgboost__info.py",TRUE
"betatabpfn_metadata","BetaTabPFN_GPU","tabarena-2025-09-03","config","model","s3","BetaTabPFN",FALSE,TRUE,"tabarena___tabarena_method_metadata_2025_09_03.py",TRUE
"mitra_method_metadata","Mitra_GPU","tabarena-2025-09-03","config","model","s3","Mitra",NA,TRUE,"mitra__info.py",TRUE
"realmlp_method_metadata","RealMLP_GPU","tabarena-2025-09-03","config","model","s3","RealMLP",NA,TRUE,"realmlp__info.py",TRUE
"tabflex_metadata","TabFlex_GPU","tabarena-2025-09-03","config","model","s3","TabFlex",FALSE,TRUE,"tabarena___tabarena_method_metadata_2025_09_03.py",TRUE
"xrfm_method_metadata","xRFM_GPU","tabarena-2025-09-03","config","model","s3","xRFM",NA,TRUE,"xrfm__info.py",TRUE
"knn_method_metadata","KNeighbors","tabarena-2025-10-20","config","model","s3","KNN",NA,TRUE,"knn__info.py",TRUE
"lr_method_metadata","LinearModel","tabarena-2025-10-20","config","model","s3","Linear",NA,TRUE,"lr__info.py",TRUE
"tabdpt_method_metadata","TabDPT_GPU","tabarena-2025-10-20","config","model","s3","TabDPT",NA,TRUE,"tabdpt__info.py",TRUE
