"dataset","task_id","dataset_id","target","problem_type","metric","n_folds","n_repeats","n_instances","n_features","n_classes","pct_categorical","can_run_tabpfnv2","can_run_tabicl","domain","source","year","licence","url"
"airfoil_self_noise",363612,46904,"scaled-sound-pressure","regression","rmse",3,10,1503,5,NA,16.6666666666667,TRUE,FALSE,"physics & astronomy","UCI",2014,"CC BY 4.0","https://doi.org/10.24432/C5VW2C"
"Amazon_employee_access",363613,46905,"ResourceApproved","binary","roc_auc",3,3,32769,9,2,100,FALSE,TRUE,"business & marketing","Kaggle",2010,"Public Domain","https://www.kaggle.com/c/amazon-employee-access-challenge"
"anneal",363614,46906,"classes","multiclass","log_loss",3,10,898,38,5,84.6153846153846,TRUE,TRUE,"chemistry & material science","UCI",1990,"CC BY 4.0","https://doi.org/10.24432/C5RW2F"
"Another-Dataset-on-used-Fiat-500",363615,46907,"price","regression","rmse",3,10,1538,7,NA,12.5,TRUE,FALSE,"technology & internet","Kaggle",2020,"CC0: Public Domain","https://www.kaggle.com/datasets/paolocons/another-fiat-500-dataset-1538-rows"
"APSFailure",363616,46908,"AirPressureSystemFailure","binary","roc_auc",3,3,76000,170,2,0.584795321637427,FALSE,TRUE,"industry & manufacturing","UCI",2016,"CC BY 4.0","https://doi.org/10.24432/C5V60Q"
"bank-marketing",363618,46910,"SubscribeTermDeposit","binary","roc_auc",3,3,45211,13,2,57.1428571428571,FALSE,TRUE,"finance","UCI",2012,"CC BY 4.0","https://doi.org/10.24432/C5K306"
"Bank_Customer_Churn",363619,46911,"churn","binary","roc_auc",3,3,10000,10,2,45.4545454545455,TRUE,TRUE,"finance","Kaggle",2020,"Public","https://www.kaggle.com/datasets/gauravtopre/bank-customer-churn-dataset"
"Bioresponse",363620,46912,"MoleculeElicitsResponse","binary","roc_auc",3,3,3751,1776,2,0.056274620146314,FALSE,FALSE,"biology & life sciences","Kaggle",2012,"Public Domain","https://www.kaggle.com/c/bioresponse"
"blood-transfusion-service-center",363621,46913,"DonatedBloodInMarch2007","binary","roc_auc",3,10,748,4,2,20,TRUE,TRUE,"medical & healthcare","UCI",2008,"CC BY 4.0","https://doi.org/10.24432/C5GS39"
"churn",363623,46915,"CustomerChurned","binary","roc_auc",3,3,5000,19,2,25,TRUE,TRUE,"business & marketing","OpenML",2005,"MIT License","https://github.com/EpistasisLab/pmlb/tree/master/datasets/churn"
"coil2000_insurance_policies",363624,46916,"MobileHomePolicy","binary","roc_auc",3,3,9822,85,2,4.65116279069767,TRUE,TRUE,"business & marketing","UCI",2000,"CC BY 4.0","https://doi.org/10.24432/C5630S"
"concrete_compressive_strength",363625,46917,"ConcreteCompressiveStrength","regression","rmse",3,10,1030,8,NA,0,TRUE,FALSE,"chemistry & material science","UCI",1998,"CC BY 4.0","https://doi.org/10.24432/C5PK67"
"credit-g",363626,46918,"good_or_bad_customer","binary","roc_auc",3,10,1000,20,2,66.6666666666667,TRUE,TRUE,"finance","UCI",1994,"CC BY 4.0","https://doi.org/10.24432/C5NC77"
